"expen","age_ref","sex_ref","white","black","american_indian","asian","other","multi_race","welf_reic","welf_not_reiv","fwagexm","year","quarter"
77.16,27,1,1,0,0,0,0,0,0,1,89095,2017,1
238.97,27,1,1,0,0,0,0,0,0,1,89095,2017,1
76.48,53,2,1,0,0,0,0,0,0,1,26000,2017,1
57,56,1,1,0,0,0,0,0,0,1,35000,2017,1
62.53,56,1,1,0,0,0,0,0,0,1,35000,2017,1
423.9,34,2,1,0,0,0,0,0,0,1,83000,2017,1
664.01764,34,2,1,0,0,0,0,0,0,1,83000,2017,1
566.9411,32,2,0,0,0,1,0,0,0,1,74228.4,2017,1
305.48149,32,2,0,0,0,1,0,0,0,1,96638.2,2017,1
50.71,49,1,1,0,0,0,0,0,0,1,12000,2017,1
282.55813,65,1,0,1,0,0,0,0,0,1,160000,2017,1
434.82125,65,1,0,1,0,0,0,0,0,1,160000,2017,1
65.88246,70,2,1,0,0,0,0,0,0,1,26110,2017,1
105.88,70,2,1,0,0,0,0,0,0,1,29326,2017,1
590.52581,34,1,0,0,0,0,0,1,0,1,124246.8,2017,1
589.51,34,1,0,0,0,0,0,1,0,1,125127.8,2017,1
571.31,58,2,1,0,0,0,0,0,0,1,3063.6,2017,1
482.75446,58,2,1,0,0,0,0,0,0,1,3708.4,2017,1
267.88948,63,2,1,0,0,0,0,0,0,1,120000,2017,1
347.6,63,2,1,0,0,0,0,0,0,1,120000,2017,1
77.76,50,1,1,0,0,0,0,0,0,1,48000,2017,1
31.54,50,1,1,0,0,0,0,0,0,1,48000,2017,1
832.36542,67,1,1,0,0,0,0,0,0,1,225000,2017,1
735.31114,67,1,1,0,0,0,0,0,0,1,225000,2017,1
486.17,50,1,1,0,0,0,0,0,0,1,2e+05,2017,1
277.62,50,1,1,0,0,0,0,0,0,1,2e+05,2017,1
139.98,65,2,1,0,0,0,0,0,0,1,100767.6,2017,1
246.77,65,2,1,0,0,0,0,0,0,1,104251.6,2017,1
267.17,47,1,1,0,0,0,0,0,0,1,75855.6,2017,1
483.51,47,1,1,0,0,0,0,0,0,1,79942,2017,1
331.87004,51,1,1,0,0,0,0,0,0,1,193000,2017,1
821.97,35,1,1,0,0,0,0,0,0,1,68000,2017,1
400.89,35,1,1,0,0,0,0,0,0,1,68000,2017,1
355.58,54,1,1,0,0,0,0,0,0,1,393230.8,2017,1
214.28,54,1,1,0,0,0,0,0,0,1,393230.8,2017,1
1180.12,48,1,1,0,0,0,0,0,0,1,233230.8,2017,1
489.25795,48,1,1,0,0,0,0,0,0,1,233230.8,2017,1
131.65376,70,1,1,0,0,0,0,0,0,1,4000,2017,1
176.66,70,1,1,0,0,0,0,0,0,1,4000,2017,1
34.8,60,1,1,0,0,0,0,0,0,1,68817.6,2017,1
245.89928,60,1,1,0,0,0,0,0,0,1,85766.2,2017,1
309.47,61,1,1,0,0,0,0,0,0,1,20000,2017,1
209.46,61,1,1,0,0,0,0,0,0,1,20000,2017,1
623.34998,62,2,1,0,0,0,0,0,0,1,162775,2017,1
40.38,62,2,1,0,0,0,0,0,0,1,91043.2,2017,1
599.12065,68,2,1,0,0,0,0,0,0,1,38819.8,2017,1
4.13,66,2,1,0,0,0,0,0,0,1,10000,2017,1
186.4,66,2,1,0,0,0,0,0,0,1,10000,2017,1
356.18,36,2,1,0,0,0,0,0,0,1,60000,2017,1
613.58,36,2,1,0,0,0,0,0,0,1,60000,2017,1
550.9096,56,1,1,0,0,0,0,0,0,1,112000,2017,1
166.74,56,1,1,0,0,0,0,0,0,1,112000,2017,1
152.71,50,2,1,0,0,0,0,0,0,1,15524,2017,1
129.88,50,2,1,0,0,0,0,0,0,1,15524,2017,1
953.91,43,2,1,0,0,0,0,0,0,1,233230.8,2017,1
1013.1,43,2,1,0,0,0,0,0,0,1,233230.8,2017,1
864.65,58,2,1,0,0,0,0,0,0,1,60236.2,2017,1
1152.93,58,2,1,0,0,0,0,0,0,1,68026.2,2017,1
792.51,43,2,1,0,0,0,0,0,0,1,155053.8,2017,1
773.55,43,2,1,0,0,0,0,0,0,1,154465.6,2017,1
14.6,65,2,0,1,0,0,0,0,0,1,14905,2017,1
253.63,65,2,0,1,0,0,0,0,0,1,12894.8,2017,1
80.83,40,2,1,0,0,0,0,0,0,1,54100,2017,1
561.98002,68,1,1,0,0,0,0,0,0,1,85800,2017,1
188.02,68,1,1,0,0,0,0,0,0,1,85800,2017,1
16,40,1,0,0,0,1,0,0,0,1,58782,2017,1
182.66,40,1,0,0,0,1,0,0,0,1,56930.2,2017,1
549.49,56,2,0,0,0,1,0,0,0,1,241230.8,2017,1
245.32,56,2,0,0,0,1,0,0,0,1,241230.8,2017,1
254.25533,39,2,1,0,0,0,0,0,0,1,101000,2017,1
321.09,39,2,1,0,0,0,0,0,0,1,101000,2017,1
198.6,22,1,1,0,0,0,0,0,0,1,25500,2017,1
228.99656,22,1,1,0,0,0,0,0,0,1,25500,2017,1
1560.31002,62,1,1,0,0,0,0,0,0,1,79103.4,2017,1
700.65634,62,1,1,0,0,0,0,0,0,1,78116.8,2017,1
134.67516,26,1,1,0,0,0,0,0,0,1,66000,2017,1
110.12,26,1,1,0,0,0,0,0,0,1,66000,2017,1
10.26,45,2,1,0,0,0,0,0,0,1,53200,2017,1
129.08,45,2,1,0,0,0,0,0,0,1,53200,2017,1
175.92,69,1,0,1,0,0,0,0,0,1,16000,2017,1
